Date of Rally,City,State,Venue,Estimated Visitors,Source
"Saturday, November 5, 2016",Tampa,FL,Florida State Fairgrounds,"5–20,000",[374][375]
"Saturday, November 5, 2016",Wilmington,NC,Wilmington International Airport,"5,000",[citation needed]
"Saturday, November 5, 2016",Reno,NV,Reno-Sparks Convention Center,"8,000",[376][377]
"Saturday, November 5, 2016",Denver,CO,National Western Complex,"8,000",[378]
"Sunday, November 6, 2016",Sioux City,IA,Sioux City Convention Center,"4,500",[379]
"Sunday, November 6, 2016",Minneapolis,MN,Sun Country Airlines,"9–20,000",[380]
"Sunday, November 6, 2016",Sterling Heights,MI,"Freedom Hill Amphitheater, Freedom Hill County Park","8,000",[381][382]
"Sunday, November 6, 2016",Moon Township,PA,Atlantic Aviation,"12,000",[383]
"Sunday, November 6, 2016",Leesburg,VA,"Agricultural hall, Loudoun Fairgrounds","9–20,000",[384]
"Monday, November 7, 2016",Sarasota,FL,"Robarts Arena, Sarasota County Fairgrounds","5,000",[385]
"Monday, November 7, 2016",Raleigh,NC,Dorton Arena,"7,000",[386]
"Monday, November 7, 2016",Scranton,PA,Lackawanna College Student Union,"5,000",[387]
"Monday, November 7, 2016",Manchester,NH,SNHU Arena,"12,000",[388]
"Monday, November 7, 2016",Grand Rapids,MI,DeVos Place Convention Center,"4,200",[389][390]
